coin,datetime,price,volume
avalanche-2,2025-05-11 00:00:00,25.90584069837969,701455223.1723969
avalanche-2,2025-05-12 00:00:00,24.757761643002613,507743512.1502253
avalanche-2,2025-05-13 00:00:00,24.867699675142347,856034736.517639
avalanche-2,2025-05-14 00:00:00,25.76800719022452,549372480.5265867
avalanche-2,2025-05-15 00:00:00,24.95094055346082,527365395.85133547
avalanche-2,2025-05-16 00:00:00,23.385562464677957,616295435.0046749
avalanche-2,2025-05-17 00:00:00,23.14922616868113,406317732.8775592
avalanche-2,2025-05-18 00:00:00,22.19867442905758,325955868.44439125
avalanche-2,2025-05-19 00:00:00,22.745720535267882,469056883.4723865
avalanche-2,2025-05-20 00:00:00,22.245376064546573,402160620.26586676
avalanche-2,2025-05-21 00:00:00,22.623124042418908,397138016.2693769
avalanche-2,2025-05-22 00:00:00,23.26233065474814,574130455.6710515
avalanche-2,2025-05-23 00:00:00,25.13946967996487,814750460.9456754
avalanche-2,2025-05-24 00:00:00,23.05602009366085,783293845.3329504
avalanche-2,2025-05-25 00:00:00,22.916473924871646,373853163.62251186
avalanche-2,2025-05-26 00:00:00,23.339966182681167,314995831.24203396
avalanche-2,2025-05-27 00:00:00,23.050888503041925,351768053.61016333
avalanche-2,2025-05-28 00:00:00,23.355690136779845,453381849.81565106
avalanche-2,2025-05-29 00:00:00,23.481418661546233,377712177.08970326
avalanche-2,2025-05-30 00:00:00,22.345989886946846,612537053.2884582
avalanche-2,2025-05-31 00:00:00,20.61486740635505,629680330.4996136
avalanche-2,2025-06-01 00:00:00,20.825461148677068,407061815.8597277
avalanche-2,2025-06-02 00:00:00,20.88223655229372,253050479.00186166
avalanche-2,2025-06-03 00:00:00,21.20691071069178,333062873.38475895
avalanche-2,2025-06-04 00:00:00,21.127353795251498,351461265.43123955
avalanche-2,2025-06-05 00:00:00,20.182188303009532,335231333.55272573
avalanche-2,2025-06-06 00:00:00,18.799172719314655,492986092.659395
avalanche-2,2025-06-07 00:00:00,19.703700934855224,326661262.10557777
